Pair Address,Price (USD),FDV,Market Cap,Liquidity (USD),M5 Buys,M5 Sells,H1 Buys,H1 Sells,H6 Buys,H6 Sells,H24 Buys,H24 Sells,Volume M5,Volume H1,Volume H6,Volume H24
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001293,1293766,1293766,169291.06,203,156,2011,1691,13329,11092,49245,36553,78027.17,563343.25,4079379.09,13446489.91
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001305,1304985,1304985,170001.86,232,177,2040,1712,13358,11113,49274,36574,87144.92,572460.99,4088496.84,13455607.65
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001277,1277438,1277438,168294.58,203,171,2036,1709,13321,11078,49304,36596,72833.63,568765.45,4083142.8,13462902.68
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001269,1269259,1269259,167684.03,146,106,2015,1692,13224,11032,49344,36631,33065.26,562570.04,4046441.96,13467550.01
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001246,1246014,1246014,166091.57,123,110,2016,1709,13208,11014,49369,36665,28468.85,567341.09,4036022.26,13475232.57
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001253,1253196,1253196,166413.01,106,112,2020,1717,13140,10974,49398,36700,24453.46,568315.29,4011498.22,13483688.89
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001384,1384816,1384816,174911.51,107,136,2018,1739,13122,10960,49427,36745,34614.94,581873.16,4011498.74,13499793.35
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001376,1376387,1376387,174427.44,120,156,2036,1753,13103,10904,49464,36787,61127.57,605663.8,4021355.94,13528677.58
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001435,1435853,1435853,178233.1,123,159,2042,1774,13083,10882,49494,36826,61851.56,608367.72,3985806.22,13537400.57
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001279,1279006,1279006,168297.85,188,181,2107,1796,13148,10904,49559,36848,87526.71,634042.87,4011481.37,13563075.72
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001289,1289239,1289239,169156.48,169,139,2072,1764,13098,10824,49596,36884,76333.82,633107.2,3968341.84,13576127.17
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001365,1365973,1365973,174135.53,166,129,2080,1782,13096,10792,49635,36921,53632.07,634421.95,3919437.62,13583152.1
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001434,1434191,1434191,178646.42,201,158,2130,1825,13100,10802,49706,36987,67466.16,668357.88,3938827.26,13621742.09
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001394,1394646,1394646,176174.5,238,181,2167,1848,13137,10825,49743,37010,89553.37,690445.1,3960914.47,13643829.31
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001363,1363516,1363516,174230.87,191,158,2122,1824,13119,10774,49788,37045,76810.26,681690.1,3939147.45,13653767.58
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001370,1370200,1370200,174569.07,177,151,2120,1815,13106,10773,49781,37072,76927.9,682510.52,3940556.58,13652890.78
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001388,1388228,1388228,175779.98,163,152,2134,1830,13113,10777,49795,37104,49362.1,680539.17,3937162.15,13658284.15
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001355,1355894,1355894,173593.13,124,125,2126,1829,13098,10757,49786,37120,27257.74,679815.06,3930431.57,13658534.7
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001343,1343420,1343420,172957.21,124,137,2146,1852,13100,10762,49798,37155,36659.41,694061.81,3938198.52,13673931.22
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001333,1333410,1333410,172393.59,135,140,2160,1860,13081,10766,49827,37178,37866.48,699221.58,3929558.5,13680590.33
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001335,1335619,1335619,172472.83,140,151,2177,1883,13063,10770,49849,37204,50092.17,713026.14,3931239.36,13695341.97
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001275,1275100,1275100,168597,154,167,2191,1899,13077,10786,49863,37220,52832.35,715766.32,3933979.54,13698082.15
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001211,1211004,1211004,163769.85,158,151,2199,1908,12911,10745,49912,37267,39431.18,715527.86,3854035.35,13707190.7
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001168,1168282,1168282,160971.06,191,163,2236,1926,12907,10704,49977,37305,53732.78,731511.84,3854480.91,13728005.04
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001143,1143865,1143865,159228.6,185,151,2227,1927,12844,10669,49989,37325,47607.33,731270.05,3827350.77,13733049.45
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001187,1187645,1187645,162456.38,179,161,2230,1936,12789,10616,49996,37355,43178.41,726669.23,3799126.47,13735523.25
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001160,1160487,1160487,160595.32,133,132,2203,1908,12750,10578,49990,37352,39258.69,718432.99,3777709.91,13735877.47
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001183,1183017,1183017,161908.89,92,107,2199,1904,12732,10540,50007,37362,22496.2,716836.13,3770531.69,13739965.76
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001163,1163621,1163621,160593.42,87,96,2193,1903,12680,10509,49965,37359,18502.58,711047.09,3747829.15,13729832.73
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001069,1069794,1069794,153894.93,127,101,2222,1914,12691,10488,49922,37354,22936.3,706092.82,3737081.88,13726808.97
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001109,1109295,1109295,156736.54,152,104,2222,1921,12678,10472,49904,37364,30098.46,706103.93,3729212.8,13718890.28
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001110,1110722,1110722,156839.15,157,105,2198,1923,12653,10455,49862,37362,28428.12,705371.49,3720677.18,13711623.51
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001117,1117014,1117014,157210.2,149,110,2175,1923,12633,10441,49846,37367,28367.78,701651.81,3713453.22,13704365.38
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001133,1133463,1133463,158332.87,127,106,2146,1903,12599,10407,49812,37364,25408.7,698383.52,3692457.87,13701297.41
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001194,1194250,1194250,162430.29,94,89,2136,1887,12572,10400,49797,37372,17693.81,695361.99,3677588.76,13695663.64
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001201,1200994,1200994,162966.18,85,95,2130,1892,12550,10369,49787,37375,13282.34,691853.91,3671623.01,13692025.36
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001196,1196463,1196463,162767.08,78,89,2097,1867,12511,10354,49755,37368,12978.13,679951.85,3658334.42,13684084.48
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001155,1155208,1155208,159888.52,81,98,2088,1875,12473,10339,49689,37360,13289.97,651056.8,3641089.75,13670129.37
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001163,1163837,1163837,160472.12,93,112,2100,1889,12485,10353,49701,37374,15032.25,652799.08,3642832.03,13671871.65
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001169,1169852,1169852,160773.03,81,98,2056,1856,12385,10304,49554,37353,15532.38,646398.09,3626766.73,13665176.35
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001132,1132401,1132401,158368.79,87,111,2041,1845,12336,10275,49512,37362,16298.25,643073.67,3603369.54,13664584.68
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001132,1132081,1132081,158290.69,75,83,2012,1821,12284,10237,49479,37347,14366.5,625466.75,3590568.7,13656445.57
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001114,1114686,1114686,156903.32,87,91,2019,1817,12271,10231,49459,37349,13626.2,619569.27,3580636.63,13651261.91
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001097,1097582,1097582,155726.19,77,83,1990,1812,12250,10208,49426,37336,10976.38,613028.15,3575146.36,13647193.59
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001114,1114663,1114663,157088.99,79,83,1967,1789,12239,10191,49396,37321,12916.09,612324.96,3567765.22,13644707.82
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001085,1085669,1085669,155038.61,68,77,1941,1786,12199,10162,49339,37310,12549.36,607405.57,3553593.29,13637935.13
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001102,1102018,1102018,156206.71,66,84,1935,1779,12180,10144,49300,37305,11916.81,605912.98,3548966.51,13632729.13
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001101,1101408,1101408,156165.95,65,80,1912,1772,12149,10121,49243,37297,11070.26,601711.85,3541060.03,13625854.54
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001103,1103049,1103049,156335.64,63,86,1898,1761,12136,10121,49197,37277,9381.06,581262.95,3539848.5,13598461.99
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001123,1123331,1123331,157816.72,66,89,1870,1737,12115,10064,49139,37258,10240.97,546740.73,3510622.35,13585568.16
